,index_jjj,index_spotify,year_x,title,artist,duration,country,position of year,name,artists,year_y,release_date,duration_ms,valence,danceability,speechiness
0,0,51827,1993,Asshole,Denis Leary,4:26,USA,1,Asshole,['Denis Leary'],1993,1993-01-01,266173,0.649,0.37799999999999995,0.249
1,1,14206,1993,Creep,Radiohead,3:56,England,2,Creep,['Radiohead'],1993,1993-02-22,238640,0.10400000000000001,0.515,0.0369
2,2,14213,1993,Linger,The Cranberries,4:35,Ireland,3,Linger,['The Cranberries'],1993,1993-03-01,274707,0.204,0.439,0.0265
3,3,14009,1993,No Rain,Blind Melon,3:37,USA,4,No Rain,['Blind Melon'],1992,1992-01-01,217107,0.5660000000000001,0.389,0.0316
4,4,14248,1993,Cannonball,The Breeders,3:34,USA,5,Cannonball,['The Breeders'],1993,1993-08-30,213693,0.7290000000000001,0.502,0.0407
5,5,14008,1993,Killing In The Name,Rage Against The Machine,5:14,USA,6,Killing In The Name,['Rage Against The Machine'],1992,1992,313573,0.6609999999999999,0.466,0.304
6,6,86865,1993,Lemon,U2,6:58,Ireland,7,Lemon,['U2'],1993,1993-07-05,416533,0.32799999999999996,0.616,0.0348
7,7,33300,1993,Go,Pearl Jam,3:13,USA,8,Go,['Pearl Jam'],1993,1993-10-25,193093,0.441,0.474,0.0572
8,8,134087,1993,The Honeymoon Is Over,The Cruel Sea,3:07,Australia,9,The Hot Pearl Snatch,['The Cramps'],1986,1986,197440,0.847,0.415,0.0438
9,10,14040,1993,Everybody Hurts,R.E.M.,5:20,USA,11,Everybody Hurts,['R.E.M.'],1992,1992-10-05,320267,0.166,0.467,0.0255
10,11,14032,1993,Plush,Stone Temple Pilots,5:14,USA,12,Plush - 2017 Remaster,['Stone Temple Pilots'],1992,1992-09-29,313947,0.466,0.426,0.0423
11,12,16266,1993,Soul To Squeeze,Red Hot Chili Peppers,4:53,USA,13,Soul to Squeeze,['Red Hot Chili Peppers'],2003,2003-11-18,289533,0.6559999999999999,0.6629999999999999,0.0269
12,13,85704,1993,I Held Her In My Arms,Violent Femmes,3:01,USA,14,I Held Her In My Arms,['Violent Femmes'],1986,1986-02-12,172507,0.428,0.593,0.0343
13,15,69743,1993,Sister Havana,Urge Overkill,3:50,USA,16,Sister Havana,['Urge Overkill'],1993,1993-01-01,230800,0.7290000000000001,0.591,0.0325
14,16,14258,1993,Hits From The Bong,Cypress Hill,2:41,USA,17,Hits from the Bong,['Cypress Hill'],1993,1993-07-20,160867,0.499,0.8009999999999999,0.18100000000000002
15,17,71761,1993,Go West,Pet Shop Boys,5:03,England,18,Go West - 2003 Remaster,['Pet Shop Boys'],2003,2003,304080,0.444,0.535,0.0373
16,19,14208,1993,Heart-Shaped Box,Nirvana,4:41,USA,20,Heart-Shaped Box,['Nirvana'],1993,1993-09-21,281160,0.382,0.256,0.0552
17,21,69236,1993,The Ship Song (Live),Nick Cave & The Bad Seeds,4:23,Australia,22,The Ship Song - 2010 Remastered Version,['Nick Cave & The Bad Seeds'],1990,1990,314147,0.125,0.318,0.0303
18,22,33151,1993,Human Behaviour,Björk,4:12,Iceland,23,Human Behaviour,['Björk'],1993,1993-07-05,252360,0.508,0.6809999999999999,0.0358
19,23,14010,1993,What's Up?,4 Non Blondes,4:56,USA,24,What's Up?,['4 Non Blondes'],1992,1992-01-01,295533,0.45399999999999996,0.565,0.0292
20,24,33209,1993,Feed The Tree,Belly,3:29,USA,25,Feed the Tree,['Belly'],1993,1993-01-29,209000,0.868,0.547,0.0269
21,26,14218,1993,Sober,Tool,5:07,USA,27,Sober,['TOOL'],1993,1993-04-06,306853,0.187,0.385,0.0329
22,27,14231,1993,Are You Gonna Go My Way,Lenny Kravitz,3:32,USA,28,Are You Gonna Go My Way,['Lenny Kravitz'],1993,1993-03-09,211933,0.777,0.619,0.0353
23,28,14264,1993,All That She Wants,Ace Of Base,3:33,Sweden,29,All That She Wants,['Ace of Base'],1993,1993-12-24,211213,0.858,0.7979999999999999,0.0548
24,29,55384,1993,Constant Craving,k.d. lang,4:38,Canada,30,Constant Craving,['k.d. lang'],2010,2010,277240,0.321,0.6,0.0302
25,30,86806,1993,Numb,U2,4:21,Ireland,31,Numb,['U2'],1993,1993-07-05,259200,0.10800000000000001,0.528,0.0553
26,32,14344,1993,Pets,Porno For Pyros,3:37,USA,33,Pets,['Porno for Pyros'],1993,1993-04-23,216733,0.302,0.578,0.0347
27,34,14230,1993,Shoop,Salt-N-Pepa,4:09,USA,35,Shoop,['Salt-N-Pepa'],1993,1993-10-12,248573,0.795,0.9390000000000001,0.21100000000000002
28,36,150302,1993,My Sister,The Juliana Hatfield Three,3:24,USA,37,My Sister,['The Juliana Hatfield Three'],1993,1993-01-01,203333,0.568,0.52,0.0365
29,37,135451,1993,Get Me,Dinosaur Jr.,5:52,USA,38,Get Me,['Dinosaur Jr.'],1993,1993-02-09,351933,0.331,0.204,0.0518
30,38,14014,1993,Friday I'm In Love,The Cure,3:37,England,39,Friday I'm in Love,['The Cure'],1992,1992-04-21,214400,0.505,0.526,0.0342
31,42,14220,1993,Cherub Rock,The Smashing Pumpkins,4:58,USA,43,Cherub Rock - Remastered 2011,['The Smashing Pumpkins'],1993,1993,298253,0.45299999999999996,0.382,0.0399
32,44,33192,1993,Start Choppin',Dinosaur Jr.,5:40,USA,45,Start Choppin',['Dinosaur Jr.'],1993,1993-02-09,340187,0.57,0.373,0.10300000000000001
33,45,51776,1993,Detachable Penis,King Missile,3:22,USA,46,Detachable Penis,['King Missile'],1992,1992,203240,0.8220000000000001,0.693,0.0329
34,46,165183,1993,Tease Me,Chaka Demus & Pliers,4:06,Jamaica,47,Tease Me,['Chaka Demus & Pliers'],1993,1993-01-01,246333,0.909,0.95,0.0744
35,50,14016,1993,Would?,Alice in Chains,3:29,USA,51,Would?,['Alice In Chains'],1992,1992-09-29,206773,0.585,0.305,0.0398
36,51,12997,1993,Runaway Train,Soul Asylum,4:27,USA,52,Runaway Train,['Soul Asylum'],1986,1986,266067,0.53,0.616,0.0385
37,52,165057,1993,Taillights Fade,Buffalo Tom,3:45,USA,53,Taillights Fade,['Buffalo Tom'],1992,1992,224840,0.27899999999999997,0.303,0.0511
38,59,119572,1993,Distant Sun,Crowded House,3:50,Australia,60,Distant Sun,['Crowded House'],1993,1993-01-01,229738,0.647,0.409,0.0272
39,60,154829,1993,Last Train (Master Mix) (With Paul Kelly),Christine Anu,4:26,Australia,61,"Last Thing I Needed, First Thing This Morning",['Chris Stapleton'],2017,2017-05-05,255027,0.221,0.535,0.03
40,61,14176,1993,Easy,Faith No More,3:07,USA,62,Easy,['Faith No More'],1992,1992,186960,0.375,0.506,0.0339
41,63,14158,1993,Nearly Lost You,Screaming Trees,4:07,USA,64,Nearly Lost You,['Screaming Trees'],1992,1992,247093,0.434,0.166,0.11900000000000001
42,64,33129,1993,Regret,New Order,4:08,England,65,Regret - 2015 Remaster,['New Order'],1993,1993-05-03,248973,0.865,0.506,0.0305
43,65,135226,1993,Something Good,Utah Saints,5:57,England,66,Something Good,['Utah Saints'],1992,1992-01-01,355880,0.507,0.53,0.0423
44,66,135839,1993,Boom Shack-A-Lak,Apache Indian,3:50,England,67,Boom Shack-A-Lak,['Apache Indian'],1995,1995-01-01,271333,0.9009999999999999,0.764,0.0298
45,67,33122,1993,Mr. Vain,Culture Beat,5:37,Germany,68,Mr. Vain - Original Radio Edit,['Culture Beat'],1993,1993-01-01,257467,0.391,0.703,0.0399
